"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
23,1,1,2,33,2
53,2,2,1,46,2
10,5,2,2,10,2
10,2,2,1,10,2
10,2,2,1,10,2
10,2,2,1,29,2
29,2,2,1,29,2
46,2,1,1,46,2
33,2,1,1,45,2
10,2,2,2,26,2
10,2,2,1,29,2
10,2,2,1,10,2
10,2,2,1,26,2
24,2,2,1,33,2
26,2,2,1,46,2
26,2,2,1,33,2
26,2,2,1,10,2
29,2,2,1,29,2
33,2,2,1,33,2
39,2,2,1,39,2
45,2,2,1,45,2
49,2,2,1,39,2
99,2,2,1,29,2
46,3,2,1,46,2
29,9,2,1,29,2
49,2,1,1,29,2
46,2,1,1,33,2
33,2,1,1,22,2
26,2,1,2,31,2
10,1,1,1,26,2
10,1,2,2,10,2
46,1,2,2,10,2
10,2,2,1,99,2
23,2,2,1,33,2
26,2,2,2,26,2
26,2,2,1,33,2
26,2,2,1,26,2
26,2,2,1,46,2
26,2,2,1,33,2
33,2,2,2,32,2
33,2,2,1,33,2
33,2,2,1,10,2
33,2,2,1,49,2
46,2,2,1,46,2
49,2,2,1,49,2
55,2,2,1,44,2
99,2,2,1,26,2
59,2,1,1,26,2
55,2,1,1,51,2
46,2,1,1,46,2
49,2,1,1,49,2
29,2,1,1,59,2
46,2,1,2,33,2
26,9,1,1,46,2
26,2,1,2,46,2
39,2,1,1,39,2
49,2,1,1,49,2
21,NA,2,2,33,2
25,NA,2,1,44,2
49,1,2,2,49,2
10,2,2,1,45,2
10,2,2,1,29,2
10,2,2,1,10,2
10,2,2,1,33,2
10,2,2,1,10,2
10,2,2,1,23,2
10,2,2,1,33,2
10,2,2,1,10,2
10,2,2,1,23,2
10,2,2,1,26,2
21,2,2,1,10,2
21,2,2,1,23,2
22,2,2,1,22,2
23,2,2,1,32,2
24,2,2,1,10,2
26,2,2,1,26,2
26,2,2,1,24,2
26,2,2,1,26,2
26,2,2,1,26,2
26,2,2,2,26,2
26,2,2,1,46,2
26,2,2,1,46,2
26,2,2,1,26,2
26,2,2,1,26,2
29,2,2,1,29,2
29,2,2,1,29,2
29,2,2,2,39,2
29,2,2,1,29,2
29,2,2,1,29,2
31,2,2,1,31,2
32,2,2,1,99,2
33,2,2,2,33,2
33,2,2,1,22,2
33,2,2,1,44,2
33,2,2,1,26,2
33,2,2,1,45,2
33,2,2,1,33,2
33,2,2,1,26,2
33,2,2,1,46,2
33,2,2,1,33,2
33,2,2,1,31,2
33,2,2,1,33,2
33,2,2,1,33,2
33,2,2,1,26,2
39,2,2,2,39,2
39,2,2,1,39,2
39,2,2,1,39,2
45,2,2,1,26,2
45,2,2,1,45,2
46,2,2,1,54,2
46,2,2,1,46,2
46,2,2,1,46,2
46,2,2,1,10,2
49,2,2,2,29,2
49,2,2,1,49,2
23,3,2,2,21,2
24,3,2,2,10,2
26,3,2,2,26,2
32,3,2,1,23,2
25,9,2,2,24,2
59,2,1,1,49,2
46,2,1,1,46,2
52,2,1,1,32,2
49,2,1,1,59,2
46,2,1,1,46,2
45,2,1,1,45,2
46,2,1,1,99,2
33,2,1,1,26,2
44,5,1,1,33,2
49,2,1,1,39,2
49,2,1,9,49,2
26,2,1,1,26,2
46,2,1,1,46,2
26,2,1,1,26,2
46,1,1,1,46,2
23,2,1,2,25,2
33,2,1,2,33,2
44,2,1,1,33,2
33,3,1,2,22,2
49,2,1,1,29,2
26,3,1,1,49,2
23,3,1,1,33,2
26,2,1,2,26,2
46,2,1,1,46,2
46,2,1,1,26,2
45,2,1,1,45,2
26,2,1,2,46,2
33,2,1,1,26,2
49,2,1,2,10,2
10,2,1,2,29,2
23,2,1,1,10,2
10,1,1,1,10,2
10,2,1,1,26,2
22,2,1,1,33,2
24,2,1,2,26,2
10,3,1,1,24,2
10,2,1,2,22,2
99,2,1,1,99,2
26,2,1,1,46,2
39,1,1,2,39,2
10,3,2,1,23,3
39,9,2,1,99,3
26,3,1,9,29,3
49,3,1,9,99,3
39,3,1,2,29,3
59,9,1,1,39,3
26,3,2,1,33,3
26,3,2,1,22,3
49,3,2,1,29,3
51,1,1,9,45,3
49,3,1,9,45,3
26,2,1,1,10,3
49,3,2,1,49,3
33,3,1,1,26,3
29,3,1,1,39,3
49,3,1,1,39,3
46,1,1,1,33,3
24,3,2,1,23,3
24,3,2,1,24,3
26,3,2,2,22,3
33,3,2,1,45,3
49,9,1,1,49,3
10,3,2,1,10,3
10,3,2,1,26,3
25,3,2,1,46,3
52,3,1,1,25,3
32,3,1,1,49,3
26,2,1,1,31,3
26,3,2,1,23,3
26,3,2,1,26,3
33,3,2,1,33,3
10,2,2,2,10,3
10,2,2,2,29,3
10,2,2,2,29,3
10,2,2,1,10,3
26,2,2,1,26,3
29,2,2,1,49,3
39,2,2,1,39,3
10,3,2,1,33,3
10,3,2,1,10,3
10,3,2,1,33,3
10,3,2,2,10,3
10,3,2,1,99,3
10,3,2,1,10,3
10,3,2,2,29,3
10,3,2,1,29,3
10,3,2,1,10,3
10,3,2,1,33,3
21,3,2,1,23,3
22,3,2,1,22,3
23,3,2,1,10,3
23,3,2,1,10,3
23,3,2,1,26,3
23,3,2,1,26,3
23,3,2,1,33,3
24,3,2,1,24,3
24,3,2,1,26,3
24,3,2,1,46,3
24,3,2,1,49,3
26,3,2,1,33,3
26,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,10,3
26,3,2,1,26,3
26,3,2,1,33,3
26,3,2,1,26,3
26,3,2,1,33,3
26,3,2,1,10,3
26,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,33,3
26,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,25,3
26,3,2,1,26,3
29,3,2,1,29,3
29,3,2,1,29,3
29,3,2,1,49,3
29,3,2,1,29,3
29,3,2,9,10,3
29,3,2,1,29,3
29,3,2,1,29,3
33,3,2,1,26,3
33,3,2,1,10,3
33,3,2,1,26,3
33,3,2,1,33,3
39,3,2,1,49,3
39,3,2,1,39,3
39,3,2,1,49,3
39,3,2,1,29,3
39,3,2,1,39,3
44,3,2,1,26,3
44,3,2,1,10,3
46,3,2,1,26,3
46,3,2,1,46,3
49,3,2,1,33,3
49,3,2,9,39,3
49,3,2,1,49,3
49,3,2,1,46,3
49,3,2,1,49,3
99,3,2,1,99,3
26,9,2,1,26,3
55,2,1,2,39,3
59,3,1,1,59,3
46,3,1,1,46,3
49,3,1,2,26,3
26,3,1,1,26,3
49,3,1,1,49,3
49,3,1,1,39,3
24,3,1,2,23,3
29,3,1,2,10,3
39,3,1,1,29,3
49,3,1,2,46,3
49,1,1,1,49,3
29,2,1,1,29,3
29,3,1,2,29,3
33,3,1,2,33,3
29,3,1,2,29,3
39,3,1,1,29,3
29,2,1,2,29,3
46,3,1,1,46,3
49,2,1,1,29,3
22,3,1,1,23,3
39,3,9,2,29,3
99,5,9,9,99,3
49,3,2,1,49,3
33,3,2,1,22,3
29,4,2,1,39,3
26,2,1,2,10,3
10,3,2,1,10,3
10,3,2,1,33,3
10,3,2,2,10,3
22,3,2,2,22,3
23,3,2,1,22,3
25,3,2,1,25,3
26,3,2,1,26,3
29,3,2,1,29,3
33,3,2,1,45,3
39,3,2,1,49,3
46,3,2,1,45,3
39,9,2,1,29,3
49,3,1,1,29,3
45,9,1,1,45,3
26,1,1,1,33,3
39,3,1,2,29,3
33,3,1,2,10,3
23,NA,2,2,32,3
22,2,2,1,33,3
46,2,2,9,46,3
10,3,2,1,10,3
10,3,2,1,26,3
10,3,2,1,46,3
21,3,2,2,10,3
21,3,2,1,23,3
24,3,2,1,22,3
24,3,2,1,39,3
26,3,2,1,45,3
26,3,2,1,33,3
26,3,2,1,33,3
26,3,2,1,10,3
29,3,2,2,29,3
29,3,2,1,29,3
29,3,2,1,29,3
29,3,2,9,10,3
33,3,2,1,26,3
33,3,2,1,33,3
33,3,2,2,45,3
39,3,2,1,29,3
44,3,2,1,44,3
45,3,2,2,45,3
49,3,2,1,39,3
99,3,2,9,99,3
44,3,1,1,44,3
49,3,1,1,99,3
33,3,1,1,26,3
10,3,1,2,22,3
33,2,1,1,26,3
29,3,1,1,39,3
10,1,2,1,10,3
10,1,2,2,10,3
25,1,2,1,26,3
26,1,2,9,10,3
22,2,2,2,10,3
23,2,2,1,26,3
46,2,2,1,46,3
46,2,2,1,46,3
10,3,2,2,10,3
10,3,2,1,26,3
10,3,2,2,10,3
10,3,2,1,25,3
10,3,2,1,10,3
10,3,2,9,23,3
10,3,2,1,10,3
10,3,2,1,10,3
21,3,2,1,33,3
22,3,2,1,23,3
23,3,2,1,22,3
23,3,2,1,24,3
23,3,2,1,21,3
24,3,2,1,10,3
24,3,2,1,32,3
26,3,2,1,33,3
26,3,2,2,26,3
26,3,2,1,26,3
26,3,2,1,33,3
26,3,2,1,10,3
26,3,2,1,26,3
26,3,2,1,46,3
26,3,2,1,99,3
26,3,2,1,26,3
26,3,2,2,10,3
26,3,2,1,23,3
26,3,2,1,10,3
26,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,31,3
26,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,26,3
26,3,2,1,10,3
26,3,2,1,26,3
26,3,2,1,33,3
26,3,2,1,33,3
26,3,2,1,23,3
29,3,2,1,49,3
29,3,2,1,29,3
29,3,2,1,59,3
29,3,2,1,29,3
29,3,2,1,39,3
31,3,2,1,32,3
32,3,2,1,23,3
32,3,2,1,26,3
32,3,2,1,46,3
33,3,2,1,33,3
33,3,2,1,33,3
33,3,2,9,99,3
33,3,2,1,26,3
33,3,2,1,99,3
39,3,2,1,39,3
44,3,2,1,32,3
44,3,2,1,46,3
46,3,2,1,46,3
46,3,2,1,26,3
46,3,2,2,46,3
46,3,2,1,46,3
46,3,2,1,46,3
46,3,2,1,46,3
46,3,2,1,23,3
49,3,2,1,46,3
49,3,2,2,46,3
55,3,2,1,10,3
99,3,2,2,99,3
22,9,2,1,23,3
29,9,2,1,29,3
29,9,2,2,29,3
33,9,2,1,26,3
49,9,2,1,39,3
33,3,1,2,26,3
46,3,1,1,46,3
46,3,1,1,46,3
46,3,1,1,33,3
49,3,1,1,33,3
39,1,1,1,29,3
46,3,1,1,33,3
29,3,1,1,29,3
49,3,1,2,39,3
23,3,1,2,33,3
26,3,1,1,33,3
26,3,1,1,33,3
29,3,1,1,29,3
32,3,1,1,33,3
45,3,1,2,10,3
46,3,1,2,26,3
46,3,1,1,33,3
10,3,1,1,26,3
45,1,1,1,26,3
26,2,1,1,26,3
22,3,1,2,22,3
45,3,1,2,53,3
33,3,1,1,33,3
26,3,1,2,26,3
29,3,1,1,29,3
10,1,1,1,10,3
10,3,1,2,10,3
10,3,1,2,24,3
10,3,1,2,10,3
49,3,1,2,29,3
46,3,1,1,44,3
46,3,1,1,46,3
10,3,1,2,26,3
10,3,1,1,10,3
46,3,1,1,46,3
46,3,1,1,26,3
26,5,1,1,26,5
99,5,1,9,99,5
10,5,2,1,26,5
29,2,1,2,26,5
26,5,2,1,46,5
33,5,2,1,44,5
24,5,1,1,44,5
10,5,2,1,10,5
23,5,2,1,23,5
33,5,1,2,33,5
45,5,1,1,26,5
33,5,2,1,31,5
99,2,2,9,99,5
10,5,2,1,10,5
45,5,1,1,45,5
26,5,1,1,45,5
39,2,1,1,49,5
26,5,1,1,33,5
99,5,9,9,99,5
99,3,9,2,26,5
99,5,1,9,99,5
33,5,2,1,33,5
46,5,1,2,99,5
26,5,1,2,10,5
59,1,1,9,49,5
10,5,2,1,23,5
26,5,2,1,26,5
46,5,2,1,26,5
46,5,1,2,46,5
10,5,2,1,21,5
10,5,2,1,10,5
26,5,2,1,26,5
26,5,2,1,10,5
26,5,2,1,44,5
32,5,2,1,33,5
33,5,2,1,26,5
33,5,2,1,26,5
33,5,2,1,46,5
33,5,2,1,33,5
44,5,2,2,44,5
45,5,2,1,46,5
46,5,2,1,46,5
45,5,1,1,46,5
46,5,1,1,33,5
46,5,1,1,46,5
26,5,1,1,26,5
33,5,1,1,46,5
23,5,1,1,23,5
10,5,1,2,10,5
24,5,1,1,26,5
24,5,1,1,26,5
21,9,2,1,33,9
23,9,2,1,26,9
49,9,2,2,10,9
49,9,1,1,49,9
33,9,1,1,49,9
49,9,1,1,99,9
99,9,1,1,99,9
21,9,1,1,26,9
39,3,1,1,49,9
25,9,1,2,23,9
49,9,1,1,49,9
59,9,1,1,59,9
46,9,1,9,31,9
49,9,1,1,39,9
99,9,1,9,99,9
46,9,1,1,46,9
10,1,9,1,26,9
99,5,1,9,99,9
99,5,9,9,99,9
39,9,1,1,49,9
49,9,1,9,29,9
99,9,9,9,99,9
99,9,9,9,99,9
49,9,1,1,49,9
29,9,1,2,29,9
33,9,1,1,59,9
24,9,1,1,24,9
24,9,2,1,24,9
51,9,1,1,33,9
46,9,1,1,46,9
45,2,2,2,45,9
26,9,2,1,29,9
26,9,2,1,26,9
29,9,2,1,29,9
59,9,2,1,49,9
39,9,1,1,39,9
45,9,1,2,45,9
33,9,1,1,32,9
21,9,1,1,32,9
33,9,1,1,49,9
46,9,1,1,44,9
49,9,1,1,49,9
49,2,2,1,39,9
49,9,1,9,49,9
29,9,2,1,99,9
44,9,2,1,10,9
49,9,1,1,49,9
59,9,1,1,49,9
45,9,1,1,45,9
49,9,1,2,49,9
33,9,1,1,45,9
46,2,1,1,99,9
21,9,2,1,21,9
22,9,2,1,26,9
33,9,2,1,32,9
45,9,2,1,45,9
45,9,1,1,26,9
26,9,2,1,33,9
29,9,2,2,99,9
46,9,1,1,49,9
44,9,1,1,99,9
39,9,1,1,59,9
31,9,1,1,33,9
45,9,1,1,46,9
49,9,1,1,49,9
46,9,2,1,45,9
29,9,1,1,29,9
99,3,2,1,99,9
29,9,2,9,99,9
33,9,2,1,32,9
45,9,1,1,45,9
23,9,1,9,10,9
46,9,1,2,32,9
33,9,2,1,33,9
45,9,1,2,10,9
10,1,2,1,10,9
26,2,2,1,33,9
29,2,2,1,29,9
29,2,2,1,29,9
29,2,2,1,39,9
29,3,2,1,29,9
99,3,2,1,29,9
10,9,2,2,39,9
10,9,2,1,33,9
10,9,2,1,26,9
10,9,2,2,10,9
10,9,2,2,10,9
10,9,2,2,10,9
10,9,2,1,39,9
10,9,2,1,29,9
10,9,2,1,99,9
10,9,2,1,99,9
21,9,2,2,29,9
22,9,2,1,22,9
22,9,2,1,25,9
22,9,2,1,23,9
23,9,2,1,32,9
23,9,2,1,10,9
23,9,2,1,26,9
24,9,2,1,33,9
24,9,2,1,33,9
26,9,2,1,22,9
26,9,2,1,46,9
26,9,2,1,45,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,2,26,9
26,9,2,1,49,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,9,10,9
26,9,2,1,56,9
26,9,2,1,31,9
26,9,2,1,23,9
26,9,2,1,23,9
26,9,2,1,26,9
26,9,2,1,26,9
29,9,2,9,49,9
29,9,2,1,29,9
29,9,2,1,39,9
29,9,2,1,29,9
29,9,2,2,29,9
29,9,2,1,29,9
29,9,2,1,29,9
29,9,2,1,39,9
29,9,2,1,29,9
29,9,2,1,10,9
29,9,2,1,29,9
29,9,2,1,29,9
29,9,2,1,29,9
32,9,2,2,31,9
32,9,2,1,46,9
32,9,2,1,26,9
32,9,2,1,33,9
33,9,2,1,33,9
33,9,2,1,26,9
33,9,2,1,33,9
33,9,2,1,49,9
33,9,2,1,33,9
33,9,2,1,46,9
33,9,2,1,99,9
33,9,2,1,33,9
33,9,2,1,33,9
33,9,2,2,33,9
33,9,2,1,46,9
33,9,2,1,33,9
33,9,2,1,33,9
33,9,2,1,10,9
39,9,2,1,29,9
39,9,2,1,29,9
39,9,2,9,49,9
39,9,2,1,39,9
39,9,2,1,39,9
39,9,2,1,29,9
39,9,2,2,39,9
39,9,2,1,49,9
39,9,2,2,39,9
39,9,2,1,39,9
39,9,2,1,39,9
39,9,2,9,49,9
44,9,2,1,44,9
44,9,2,1,32,9
45,9,2,1,33,9
45,9,2,1,49,9
45,9,2,9,45,9
46,9,2,9,46,9
49,9,2,9,39,9
49,9,2,1,39,9
49,9,2,1,49,9
49,9,2,1,39,9
49,9,2,1,39,9
49,9,2,2,49,9
49,9,2,2,49,9
49,9,2,1,39,9
49,9,2,1,49,9
49,9,2,1,49,9
49,9,2,1,49,9
49,9,2,1,49,9
49,9,2,1,49,9
99,9,2,1,99,9
99,9,2,1,99,9
99,9,2,2,99,9
99,9,2,9,39,9
99,9,2,1,99,9
99,9,2,1,10,9
59,9,1,1,49,9
49,9,1,2,22,9
59,9,1,1,59,9
44,9,1,2,10,9
46,9,1,1,46,9
49,2,1,1,49,9
59,9,1,2,29,9
59,9,1,1,59,9
33,9,1,1,99,9
39,9,1,9,99,9
45,9,1,1,26,9
49,9,1,1,29,9
99,9,1,1,45,9
59,9,1,1,59,9
44,9,1,1,44,9
44,9,1,1,33,9
99,9,1,9,99,9
33,9,1,1,46,9
49,9,1,1,49,9
49,9,1,1,49,9
49,9,1,1,49,9
10,9,1,1,26,9
39,9,1,1,49,9
44,9,1,1,23,9
46,2,1,1,31,9
49,9,1,1,39,9
49,9,1,2,39,9
10,9,1,1,29,9
49,2,1,1,59,9
29,9,1,1,10,9
29,9,1,1,39,9
29,9,1,1,29,9
29,9,1,2,29,9
33,9,1,2,25,9
33,9,1,9,25,9
45,9,1,1,33,9
46,9,1,1,26,9
46,9,1,1,46,9
46,9,1,1,46,9
49,9,1,1,39,9
49,9,1,2,49,9
49,9,1,1,49,9
49,9,1,9,49,9
49,9,1,2,10,9
49,9,1,1,49,9
49,9,1,1,59,9
59,9,1,1,49,9
49,9,1,1,49,9
26,9,1,2,33,9
49,9,1,2,39,9
21,2,1,9,99,9
29,2,1,1,29,9
24,9,1,2,10,9
39,9,1,2,29,9
29,9,1,1,39,9
33,9,1,1,33,9
44,9,1,2,44,9
49,9,1,9,99,9
26,9,1,2,26,9
99,2,1,9,99,9
33,9,1,1,26,9
49,9,1,1,49,9
46,9,1,2,45,9
29,9,1,1,39,9
29,9,1,1,29,9
32,9,1,1,32,9
39,9,1,1,99,9
10,2,1,1,29,9
29,9,1,9,29,9
33,9,1,1,33,9
46,9,1,1,26,9
10,9,1,1,26,9
10,9,1,9,99,9
46,9,1,1,23,9
33,9,1,1,25,9
45,9,1,1,45,9
49,9,1,1,59,9
49,9,1,1,49,9
49,9,1,2,29,9
49,9,1,1,49,9
52,9,1,1,49,9
59,9,1,2,39,9
59,9,1,1,49,9
99,9,1,9,99,9
99,5,1,9,99,9
99,5,1,9,99,9
23,9,1,1,99,9
29,9,9,9,29,9
29,9,1,1,29,9
49,9,1,9,99,9
49,9,1,1,49,9
59,9,1,1,44,9
99,9,9,9,10,9
39,9,2,1,39,9
31,9,2,1,10,9
29,1,1,2,29,9
23,2,2,2,32,9
10,9,2,1,10,9
10,9,2,2,24,9
24,9,2,1,31,9
26,9,2,1,26,9
24,9,1,2,33,9
33,9,1,1,33,9
24,NA,2,2,26,9
23,2,2,1,10,9
10,9,2,1,10,9
22,9,2,1,29,9
24,9,2,9,23,9
25,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
29,9,2,1,29,9
29,9,2,1,39,9
99,9,2,1,99,9
46,2,1,1,99,9
99,9,1,1,99,9
49,9,1,1,49,9
29,2,1,1,49,9
25,9,1,1,23,9
33,9,1,1,32,9
26,9,1,2,26,9
39,9,1,1,39,9
10,9,2,1,10,9
10,9,2,1,26,9
22,9,2,1,26,9
23,9,2,1,44,9
26,9,2,9,33,9
26,9,2,1,44,9
26,9,2,1,26,9
29,9,2,1,29,9
29,9,2,1,29,9
29,9,2,1,39,9
29,9,2,1,29,9
29,9,2,2,29,9
31,9,2,1,39,9
39,9,2,1,39,9
44,9,2,1,26,9
46,9,2,1,39,9
49,9,2,9,49,9
49,9,2,1,39,9
59,9,1,1,55,9
99,9,1,1,99,9
99,9,1,1,99,9
39,9,1,1,29,9
49,1,1,2,10,9
49,1,1,9,39,9
45,9,1,2,33,9
29,9,1,1,49,9
33,9,1,1,26,9
46,9,1,1,46,9
29,2,1,2,39,9
24,9,1,2,26,9
33,9,1,1,56,9
46,9,1,1,46,9
10,9,1,2,10,9
99,9,1,9,10,9
10,1,2,2,29,9
33,1,2,2,22,9
10,2,2,1,33,9
10,2,2,2,26,9
10,2,2,2,10,9
25,2,2,1,33,9
26,2,2,2,33,9
26,2,2,2,26,9
25,3,2,1,10,9
10,9,2,2,10,9
10,9,2,1,45,9
10,9,2,1,26,9
10,9,2,1,10,9
10,9,2,1,10,9
10,9,2,1,26,9
10,9,2,1,10,9
10,9,2,1,10,9
21,9,2,1,26,9
22,9,2,2,26,9
22,9,2,1,26,9
22,9,2,1,22,9
23,9,2,2,33,9
23,9,2,1,24,9
23,9,2,1,10,9
25,9,2,1,33,9
26,9,2,1,26,9
26,9,2,1,23,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,25,9
26,9,2,2,33,9
26,9,2,1,33,9
26,9,2,1,26,9
29,9,2,1,29,9
29,9,2,1,29,9
29,9,2,1,29,9
29,9,2,1,39,9
29,9,2,1,29,9
29,9,2,9,29,9
31,9,2,1,23,9
32,9,2,1,46,9
32,9,2,1,26,9
32,9,2,1,26,9
32,9,2,1,46,9
33,9,2,1,49,9
33,9,2,1,33,9
33,9,2,2,33,9
33,9,2,1,33,9
33,9,2,2,26,9
33,9,2,1,21,9
39,9,2,1,39,9
44,9,2,2,10,9
44,9,2,1,33,9
45,9,2,1,26,9
45,9,2,1,49,9
45,9,2,1,23,9
45,9,2,2,10,9
46,9,2,2,46,9
46,9,2,1,46,9
46,9,2,1,46,9
46,9,2,2,46,9
49,9,2,1,39,9
49,9,2,1,49,9
49,9,2,1,49,9
54,9,2,1,32,9
99,9,2,1,99,9
55,9,1,1,10,9
46,9,1,1,46,9
59,9,1,1,33,9
46,9,1,1,46,9
45,9,1,1,45,9
49,9,1,1,39,9
33,9,1,1,33,9
52,9,1,1,46,9
26,9,1,1,26,9
33,9,1,1,26,9
29,9,1,1,49,9
26,9,1,1,33,9
26,1,1,1,26,9
33,9,1,1,33,9
33,9,1,1,33,9
33,9,1,1,46,9
44,9,1,1,44,9
45,9,1,1,26,9
46,9,1,2,33,9
24,9,1,2,33,9
49,9,1,1,39,9
99,9,1,9,10,9
26,2,1,9,26,9
26,3,1,1,99,9
10,9,1,1,10,9
39,9,1,1,39,9
24,2,1,1,46,9
10,9,1,2,10,9
24,9,1,2,26,9
99,9,1,1,99,9
10,2,1,2,10,9
22,9,1,1,24,9
49,9,1,1,49,9
49,9,1,2,33,9
23,1,2,2,10,1
31,1,2,9,26,1
39,1,2,9,29,1
39,1,2,1,49,1
10,1,2,2,49,1
26,2,2,1,32,1
59,9,1,2,49,1
10,9,2,1,56,1
32,9,2,9,45,1
33,2,2,2,10,1
10,9,2,2,33,1
29,2,2,1,39,1
55,2,1,2,46,1
NA,NA,NA,1,44,1
10,1,2,2,99,1
10,1,2,2,33,1
29,1,2,2,29,1
29,1,2,9,29,1
29,1,2,1,10,1
39,1,2,1,39,1
49,1,2,9,49,1
24,2,2,1,26,1
25,2,2,1,33,1
25,2,2,1,26,1
26,2,2,1,26,1
26,2,2,2,26,1
29,2,2,1,29,1
29,2,2,1,29,1
29,2,2,1,29,1
29,2,2,1,39,1
29,2,2,1,29,1
33,2,2,2,26,1
45,2,2,2,45,1
49,2,2,1,49,1
99,2,2,1,23,1
99,2,2,1,99,1
26,3,2,1,26,1
10,4,2,1,49,1
10,9,2,2,49,1
29,9,2,1,29,1
59,2,1,1,49,1
59,4,1,1,49,1
33,1,1,1,33,1
33,1,1,2,46,1
49,1,1,9,49,1
49,2,1,1,39,1
23,1,1,2,25,1
23,2,1,1,23,1
49,9,1,9,49,1
29,2,1,1,29,1
39,1,1,1,29,1
49,1,1,9,49,1
10,1,9,2,49,1
49,2,1,1,49,1
46,2,2,1,45,1
49,1,1,2,26,1
10,1,2,2,29,1
26,2,2,2,26,1
33,3,1,2,53,1
10,1,2,2,10,1
29,1,2,2,39,1
29,1,2,1,29,1
49,1,2,1,49,1
99,1,2,1,99,1
10,2,2,1,26,1
10,2,2,1,29,1
10,3,2,2,21,1
46,2,1,1,46,1
33,2,1,1,26,1
99,1,1,1,99,1
29,2,1,1,29,1
46,1,1,1,33,1
10,9,1,2,26,1
52,1,1,1,46,1
10,1,2,2,10,1
26,1,2,2,26,1
26,1,2,1,26,1
29,1,2,2,99,1
32,1,2,1,33,1
33,1,2,1,26,1
59,1,2,1,49,1
10,2,2,1,33,1
22,2,2,1,21,1
22,2,2,1,21,1
22,2,2,1,10,1
25,2,2,2,26,1
25,2,2,2,26,1
29,2,2,2,10,1
33,2,2,1,26,1
46,2,2,1,52,1
10,3,2,1,45,1
33,3,2,2,23,1
44,3,2,2,33,1
23,4,2,2,10,1
26,4,2,2,46,1
39,9,2,1,29,1
49,1,1,1,39,1
45,2,1,1,32,1
24,1,1,2,25,1
26,2,1,1,22,1
49,2,1,1,49,1
26,9,1,1,33,1
45,2,1,2,32,1
99,1,1,2,99,1
25,1,1,1,22,1
39,2,1,1,29,1
10,1,2,2,26,2
10,2,2,1,33,2
39,2,2,1,99,2
39,2,2,2,49,2
39,2,2,1,39,2
49,2,2,1,39,2
99,2,2,1,99,2
99,2,2,9,99,2
29,9,2,2,29,2
99,9,1,1,33,2
59,2,1,1,49,2
49,2,1,1,39,2
29,2,1,1,99,2
46,2,1,1,46,2
46,2,1,1,46,2
44,2,1,2,26,2
99,2,1,9,99,2
39,2,9,1,29,2
99,2,9,9,99,2
49,2,1,1,39,2
10,2,2,1,23,2
45,2,1,2,45,2
49,2,1,1,49,2
29,9,1,1,39,2
26,2,2,1,10,2
26,2,2,1,33,2
26,2,2,1,46,2
49,2,2,1,49,2
49,2,1,1,49,2
32,2,1,1,33,2
39,2,1,1,49,2
10,2,1,1,45,2
26,2,2,1,49,2
44,2,2,1,26,2
26,2,1,1,26,2
22,2,2,9,32,2
26,2,2,1,26,2
26,2,2,1,26,2
29,2,2,2,39,2
39,2,2,1,29,2
39,2,2,1,39,2
45,2,1,2,45,2
26,2,2,1,23,2
32,3,2,2,46,2
33,2,2,1,99,2
33,2,2,1,45,2
33,2,2,1,33,2
59,2,2,1,49,2
45,2,1,1,45,2
39,2,1,1,29,2
39,9,1,1,99,2
99,2,1,1,99,2
49,2,2,9,39,2
26,1,2,1,33,2
45,1,2,9,10,2
10,2,2,1,29,2
10,2,2,1,10,2
10,2,2,1,33,2
10,2,2,1,99,2
10,2,2,1,33,2
22,2,2,1,10,2
23,2,2,1,10,2
24,2,2,2,26,2
26,2,2,1,39,2
26,2,2,2,46,2
26,2,2,2,23,2
26,2,2,1,99,2
26,2,2,1,26,2
26,2,2,1,45,2
26,2,2,1,26,2
26,2,2,1,49,2
26,2,2,1,26,2
29,2,2,2,99,2
29,2,2,1,29,2
29,2,2,1,49,2
29,2,2,2,39,2
29,2,2,1,29,2
29,2,2,1,29,2
29,2,2,9,29,2
29,2,2,2,29,2
29,2,2,1,29,2
29,2,2,1,29,2
29,2,2,1,10,2
31,2,2,1,33,2
31,2,2,1,26,2
32,2,2,1,45,2
32,2,2,1,26,2
33,2,2,1,33,2
33,2,2,1,33,2
33,2,2,1,33,2
33,2,2,1,33,2
33,2,2,1,23,2
33,2,2,1,33,2
33,2,2,1,52,2
33,2,2,1,46,2
33,2,2,1,26,2
39,2,2,2,29,2
39,2,2,1,39,2
39,2,2,1,49,2
39,2,2,1,39,2
44,2,2,1,10,2
45,2,2,1,59,2
45,2,2,1,31,2
46,2,2,1,46,2
46,2,2,1,46,2
