"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
29,3,2,2,29,1
10,4,2,1,29,1
10,9,2,2,29,1
10,9,2,2,39,1
53,9,1,1,10,1
39,1,1,2,49,1
39,1,1,1,99,1
39,1,1,2,29,1
49,2,1,2,49,1
10,2,1,1,26,1
29,2,1,2,29,1
46,2,1,2,33,1
49,1,1,2,49,1
39,1,1,2,49,1
26,3,1,2,23,1
10,1,1,1,32,1
29,2,1,2,10,1
26,9,1,1,26,1
99,2,1,1,99,1
99,1,1,1,99,1
25,1,2,2,26,1
26,2,2,2,33,1
26,2,2,2,23,1
45,2,2,2,45,1
10,5,2,1,26,1
33,1,2,2,44,1
99,1,2,2,45,1
10,2,2,1,26,1
10,2,2,1,23,1
24,2,2,2,45,1
31,2,2,1,33,1
26,3,2,1,25,1
10,9,2,2,26,1
29,9,2,1,29,1
23,1,1,1,23,1
26,1,1,1,22,1
10,1,2,1,29,1
10,1,2,1,10,1
23,1,2,1,24,1
26,1,2,1,33,1
29,1,2,2,29,1
32,1,2,2,45,1
33,1,2,1,26,1
46,1,2,2,46,1
10,2,2,1,26,1
10,2,2,2,10,1
10,2,2,1,24,1
10,2,2,1,33,1
10,2,2,2,26,1
23,2,2,1,26,1
23,2,2,2,33,1
26,2,2,2,31,1
26,2,2,1,26,1
22,3,2,1,10,1
26,3,2,1,26,1
26,3,2,1,33,1
99,9,2,2,29,1
46,2,1,2,46,1
26,5,1,2,45,1
21,1,1,2,31,1
39,2,1,1,29,1
46,3,1,2,31,1
32,5,1,2,26,1
26,2,1,2,31,1
26,3,1,1,33,1
10,1,1,1,99,1
10,2,1,2,31,1
10,9,1,2,23,1
10,2,1,2,26,1
45,9,1,1,33,1
33,5,1,1,33,1
32,1,1,2,23,1
10,1,2,2,99,2
10,1,2,2,29,2
10,2,1,2,10,2
39,2,2,1,39,2
22,2,1,1,22,2
29,2,1,2,29,2
10,2,1,2,39,2
22,2,2,2,24,2
26,2,2,1,26,2
53,2,1,2,44,2
10,2,1,1,26,2
29,3,2,1,10,3
10,3,2,1,10,3
33,9,2,1,29,3
26,3,2,1,26,3
10,3,1,1,26,3
10,2,2,1,10,3
33,3,2,1,33,3
29,1,2,1,39,3
26,2,2,1,26,3
26,3,2,1,49,3
26,3,2,1,44,3
26,3,2,1,33,3
29,3,2,1,29,3
29,3,2,2,29,3
39,3,2,1,39,3
99,9,2,1,39,3
49,2,1,1,49,3
99,3,1,9,99,3
31,3,1,2,31,3
49,3,1,1,29,3
10,3,9,2,33,3
10,3,2,2,26,3
10,2,2,1,26,3
49,3,2,1,29,3
49,3,1,2,39,3
25,3,2,2,10,3
26,3,2,1,26,3
26,3,2,2,33,3
26,3,2,1,26,3
26,3,2,2,26,3
39,3,2,9,10,3
46,3,2,1,45,3
26,9,2,9,10,3
